DT + 1698694375460;LT55.5316046;LG37.6105449;PB987.2534;SP15.722558AZ: 7.479633
DT + 1698694376465;LT55.5314625;LG37.6105452;PB987.3003;SP15.592243AZ: -15.223214
DT + 1698694377467;LT55.5313231;LG37.6105423;PB987.3003;SP15.61AZ: 7.1094093
DT + 1698694378474;LT55.5311844;LG37.6105407;PB987.30664;SP15.505308AZ: 2.9559593
DT + 1698694379455;LT55.531046;LG37.6105404;PB987.30615;SP15.583412AZ: -0.042660292
DT + 1698694380470;LT55.5309073;LG37.6105408;PB987.31006;SP15.499632AZ: -3.8805733
DT + 1698694381471;LT55.5307694;LG37.6105399;PB987.3037;SP15.452376AZ: 3.0150073
DT + 1698694382463;LT55.5306317;LG37.6105359;PB987.3784;SP15.544497AZ: -4.2592998
DT + 1698694383473;LT55.530493;LG37.61053;PB987.35156;SP15.3701AZ: -96.2317
DT + 1698694384471;LT55.5303581;LG37.6105242;PB987.3843;SP15.26976AZ: -14.686038
DT + 1698694385450;LT55.5302222;LG37.6105168;PB987.39014;SP15.072064AZ: -8.039559
DT + 1698694386466;LT55.5300863;LG37.6105093;PB987.43945;SP15.128853AZ: 3.5136673
DT + 1698694387451;LT55.5299484;LG37.6105003;PB987.42236;SP15.210198AZ: -3.5300655
DT + 1698694388440;LT55.5298132;LG37.6104921;PB987.4712;SP15.187826AZ: 13.803871
DT + 1698694389458;LT55.5296765;LG37.6104831;PB987.4575;SP15.0167055AZ: 9.8505745
DT + 1698694390468;LT55.5295422;LG37.6104732;PB987.50586;SP15.08889AZ: 4.0369854
DT + 1698694391443;LT55.5294088;LG37.6104627;PB987.52734;SP15.0953455AZ: -6.245141
DT + 1698694392464;LT55.5292722;LG37.6104511;PB987.53613;SP15.281748AZ: 6.4176574
DT + 1698694393469;LT55.5291358;LG37.6104391;PB987.5874;SP14.987407AZ: 10.4214735
DT + 1698694394455;LT55.529003;LG37.6104243;PB987.6465;SP14.899876AZ: -0.14998612
DT + 1698694395456;LT55.5288695;LG37.6104093;PB987.5498;SP14.987648AZ: 16.666737
DT + 1698694396455;LT55.5287365;LG37.6103952;PB987.4131;SP14.835342AZ: -18.972836
DT + 1698694397452;LT55.5286054;LG37.6103813;PB987.5781;SP14.641497AZ: -15.002814
DT + 1698694398456;LT55.5284762;LG37.6103678;PB987.61475;SP14.54805AZ: -17.206137
DT + 1698694399465;LT55.528348;LG37.610354;PB987.6094;SP14.381447AZ: 15.426472
DT + 1698694400465;LT55.5282204;LG37.6103365;PB987.6831;SP14.587316AZ: 37.80957
DT + 1698694401451;LT55.5280902;LG37.6103174;PB987.62695;SP14.5637455AZ: -5.4373426
DT + 1698694402454;LT55.5279599;LG37.6102947;PB987.7373;SP14.763709AZ: 0.112750545
DT + 1698694403466;LT55.5278265;LG37.6102688;PB987.729;SP14.997735AZ: 18.203045
DT + 1698694404472;LT55.5276925;LG37.6102433;PB987.7417;SP15.109732AZ: -6.984493
DT + 1698694405456;LT55.5275594;LG37.6102167;PB987.72754;SP14.925097AZ: -11.9040785
DT + 1698694406469;LT55.5274273;LG37.6101891;PB987.7422;SP15.066789AZ: 20.31552
